S.No,Location Id,Address,Pin Code,District,ULB Categorisation,,
56,56,"sec10 main market, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
57,57,"Near najaf gadh, Delhi, Delhi NCR",110043,South West delhi,South Delhi Municipal Corporation,,
58,58,"Near najaf gadh, Delhi, Delhi NCR",110043,South West delhi,South Delhi Municipal Corporation,,
59,59,"besai road opp nice care hospital, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
60,60,"besai road opp nice care hospital, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
61,61,"Near najaf gadh, Delhi, Delhi NCR",110043,South West delhi,South Delhi Municipal Corporation,,
62,62,"Near najaf gadh, Delhi, Delhi NCR",110043,South West delhi,South Delhi Municipal Corporation,,
63,63,"Near roshan pura, Delhi, Delhi NCR",110043,South West delhi,North Delhi Municipal Corporation ,,
64,64,"Near roshan pura, Delhi, Delhi NCR",110043,South West delhi,North Delhi Municipal Corporation ,,
65,65,"Near najaf gadh, Delhi, Delhi NCR",110043,South West delhi,South Delhi Municipal Corporation,,
66,66,"Near najaf gadh, Delhi, Delhi NCR",110043,South West delhi,South Delhi Municipal Corporation,,
67,67,"Near najaf gadh, Delhi, Delhi NCR",110043,South West delhi,South Delhi Municipal Corporation,,
68,68,"Near najaf gadh, Delhi, Delhi NCR",110043,South West delhi,South Delhi Municipal Corporation,,
69,69,"Nearnajaf gadh, Delhi, Delhi NCR",110043,South West delhi,South Delhi Municipal Corporation,,
70,70,"Nearnajaf gadh, Delhi, Delhi NCR",110043,South West delhi,South Delhi Municipal Corporation,,
71,71,"Near najaf gadh, Delhi, Delhi NCR",110043,South West delhi,South Delhi Municipal Corporation,,
72,72,"Near najaf gadh, Delhi, Delhi NCR",110043,South West delhi,South Delhi Municipal Corporation,,
73,73,"Near roshan pura, Delhi, Delhi NCR",110043,South West delhi,North Delhi Municipal Corporation ,,
74,74,"Near roshan pura, Delhi, Delhi NCR",110043,South West delhi,North Delhi Municipal Corporation ,,
75,75,"Near najaf gadh, Delhi, Delhi NCR",110043,South West delhi,South Delhi Municipal Corporation,,
76,76,"Near najaf gadh, Delhi, Delhi NCR",110043,South West delhi,South Delhi Municipal Corporation,,
77,77,"indian oil petrol pump, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
78,78,"indian oil petrol pump, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
79,79,"kadipur road near animal hospital, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
80,80,"kadipur road near animal hospital, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
81,81,"shiri. shanidev.mandir. villages. jahajgad., Gurgaon, Delhi NCR",122017,Gurgaon,Municipal Corporation of Gurgaon,,
82,82,"shiri. shanidev.mandir. villages. jahajgad., Gurgaon, Delhi NCR",122017,Gurgaon,Municipal Corporation of Gurgaon,,
83,83,"Near roshan pura, Delhi, Delhi NCR",110043,South West delhi,North Delhi Municipal Corporation ,,
84,84,"Near roshan pura, Delhi, Delhi NCR",110043,South West delhi,North Delhi Municipal Corporation ,,
85,85,"Near roshan pura, Delhi, Delhi NCR",110043,South West delhi,North Delhi Municipal Corporation ,,
86,86,"Near roshan pura, Delhi, Delhi NCR",110043,South West delhi,North Delhi Municipal Corporation ,,
87,87,"Near roshan pura, Delhi, Delhi NCR",110043,South West delhi,North Delhi Municipal Corporation ,,
88,88,"Near roshan pura, Delhi, Delhi NCR",110043,South West delhi,North Delhi Municipal Corporation ,,
89,89,"hudda market sec 10, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
90,90,"hudda market sec 10, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
91,91,"neki ram marg, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
92,92,"neki ram marg, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
93,93,"kadipur road near reliance frss, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
94,94,"kadipur road near reliance frss, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
95,95,"gautam hospital, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
96,96,"gautam hospital, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
97,97,"feroj ghandi caloni, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
98,98,"feroj ghandi caloni, Gurgaon, Delhi NCR",122001,Gurgaon,Municipal Corporation of Gurgaon,,
99,99,"temple rajindra park, Gurgaon, Delhi NCR",122006,Gurgaon,Municipal Corporation of Gurgaon,,
100,100,"temple rajindra park, Gurgaon, Delhi NCR",122006,Gurgaon,Municipal Corporation of Gurgaon,,
